Municipio,Situacao,Ano,Matriculados,Evadidos
Cabo de Santo Agostinho,Alfabetização,2022,0,0
Cabo de Santo Agostinho,Anos Iniciais,2022,416,67
Cabo de Santo Agostinho,Anos Finais,2022,1172,120
Cabo de Santo Agostinho,Alfabetização,2023,0,0
Cabo de Santo Agostinho,Anos Iniciais,2023,435,11
Cabo de Santo Agostinho,Anos Finais,2023,1042,20
Cabo de Santo Agostinho,Alfabetização,2024,0,0
Cabo de Santo Agostinho,Anos Iniciais,2024,352,81
Cabo de Santo Agostinho,Anos Finais,2024,847,37

Conde,Alfabetização,2022,0,0
Conde,Anos Iniciais,2022,58,0
Conde,Anos Finais,2022,48,0
Conde,Alfabetização,2023,0,0
Conde,Anos Iniciais,2023,363,63
Conde,Anos Finais,2023,363,63
Conde,Alfabetização,2024,0,0
Conde,Anos Iniciais,2024,359,43
Conde,Anos Finais,2024,359,43

São Francisco do Conde,Alfabetização,2022,228,147
São Francisco do Conde,Anos Iniciais,2022,328,130
São Francisco do Conde,Alfabetização,2023,198,84
São Francisco do Conde,Anos Iniciais,2023,281,100
São Francisco do Conde,Alfabetização,2024,185,42
São Francisco do Conde,Anos Iniciais,2024,203,60

Coari,Alfabetização,2022,0,0
Coari,Anos Iniciais,2022,20,5
Coari,Anos Finais,2022,120,31
Coari,Alfabetização,2023,0,0
Coari,Anos Iniciais,2023,23,0
Coari,Anos Finais,2023,197,0
Coari,Alfabetização,2024,0,0
Coari,Anos Iniciais,2024,349,0
Coari,Anos Finais,2024,205,0

Fortaleza,Alfabetização,2022,1576,295
Fortaleza,Anos Iniciais,2022,1723,1192
Fortaleza,Anos Finais,2022,3376,1763
Fortaleza,Alfabetização,2023,2236,242
Fortaleza,Anos Iniciais,2023,1668,480
Fortaleza,Anos Finais,2023,3117,856
Fortaleza,Alfabetização,2024,1982,287
Fortaleza,Anos Iniciais,2024,1378,477
Fortaleza,Anos Finais,2024,2989,1126

Santa Luzia do Itanhy,Alfabetização,2022,255,195
Santa Luzia do Itanhy,Anos Iniciais,2022,0,0
Santa Luzia do Itanhy,Anos Finais,2022,0,0
Santa Luzia do Itanhy,Alfabetização,2023,169,133
Santa Luzia do Itanhy,Anos Iniciais,2023,352,121
Santa Luzia do Itanhy,Anos Finais,2023,0,0
Santa Luzia do Itanhy,Alfabetização,2024,142,0
Santa Luzia do Itanhy,Anos Iniciais,2024,359,128
Santa Luzia do Itanhy,Anos Finais,2024,0,0

Alto do Rodrigues,Alfabetização,2022,120,8
Alto do Rodrigues,Anos Iniciais,2022,23,17
Alto do Rodrigues,Alfabetização,2023,90,3
Alto do Rodrigues,Anos Iniciais,2023,28,15
Alto do Rodrigues,Alfabetização,2024,90,22
Alto do Rodrigues,Anos Iniciais,2024,17,11

Brejo Grande,Anos Finais,2022,89,47
Brejo Grande,Alfabetização,2022,0,0
Brejo Grande,Anos Iniciais,2022,44,15
Brejo Grande,Anos Finais,2023,59,18
Brejo Grande,Alfabetização,2023,0,0
Brejo Grande,Anos Iniciais,2023,40,12
Brejo Grande,Anos Finais,2024,51,8
Brejo Grande,Alfabetização,2024,0,0
Brejo Grande,Anos Iniciais,2024,9,2

Ipojuca,Alfabetização,2022,0,0
Ipojuca,Anos Iniciais,2022,573,50
Ipojuca,Anos Finais,2022,1598,52
Ipojuca,Alfabetização,2023,0,0
Ipojuca,Anos Iniciais,2023,539,48
Ipojuca,Anos Finais,2023,1417,83
Ipojuca,Alfabetização,2024,0,0
Ipojuca,Anos Iniciais,2024,475,46
Ipojuca,Anos Finais,2024,1038,59

Icapuí,Alfabetização,2022,0,0
Icapuí,Anos Iniciais,2022,0,0
Icapuí,Anos Finais,2022,63,0
Icapuí,Alfabetização,2023,0,0
Icapuí,Anos Iniciais,2023,0,0
Icapuí,Anos Finais,2023,21,0
Icapuí,Alfabetização,2024,0,0
Icapuí,Anos Iniciais,2024,0,0
Icapuí,Anos Finais,2024,0,0

Belém,Alfabetização,2022,1723,1192
Belém,Anos Iniciais,2022,1723,1192
Belém,Anos Finais,2022,3376,1763
Belém,Alfabetização,2023,1668,480
Belém,Anos Iniciais,2023,1668,480
Belém,Anos Finais,2023,3117,856
Belém,Alfabetização,2024,1378,477
Belém,Anos Iniciais,2024,1378,477
Belém,Anos Finais,2024,2989,1126

Caruaru,Alfabetização,2022,255,195
Caruaru,Alfabetização,2023,195,142
Caruaru,Alfabetização,2024,142,0

Caucaia,Anos Iniciais,2022,1015,434
Caucaia,Anos Finais,2022,1658,756
Caucaia,Anos Iniciais,2023,606,173
Caucaia,Anos Finais,2023,1150,363
Caucaia,Anos Iniciais,2024,471,147
Caucaia,Anos Finais,2024,946,248
