Municipio,Centro_Memoria,Arquivo_Historico,Museu_Exposicao,Outro,Outro_Descricao
Alto Do Rodrigues,Nao,Nao,Nao,Nao,
Belém,Nao,Nao,Nao,Sim,"Registro fotográfico/vídeos no Facebook"
Brejo Grande,Nao,Nao,Nao,Nao,
Cabo de Santo Agostinho,Nao,Nao,Nao,Nao,
Carauari,Nao,Nao,Nao,Nao,
Caucaia,Nao,Nao,Nao,Nao,
Coari,Nao,Nao,Nao,Nao,
Conde,Nao,Nao,Nao,Nao,
Fortaleza,Nao,Nao,Nao,Nao,
Icapuí,Nao,Sim (Virtual),Nao,Nao,
Ipojuca,Nao,Nao,Nao,Nao,
Oiapoque,Nao,Nao,Nao,Nao,
Santa Luzia do Inhaty,Nao,Nao,Nao,Nao,
São Francisco do Conde,Nao,Sim (Virtual),Nao,Nao,
