Municipio,Autoriza_uso,Interesse_participar,Equipe_tecnica,Desafios,Observacoes
Alto Do Rodrigues,Sim,Sim,Sim,"Falta de materiais.",""
Belém,Sim,Sim,Sim,"Falta de materiais; falta de equipe.",""
Brejo Grande,Sim,Sim,Sim,"Falta de materiais; falta de equipe.",""
Cabo De Santo Agostinho,Não informado,Não informado,Não informado,"Não está a par da discussão, não pôde responder.",""
Carauari,Sim,Nao,Nao,"Falta de materiais; falta de equipe.","As imagens serão disponibilizadas considerando a LGPD."
Caucaia,Sim,Sim,Nao,"Falta de materiais; falta de equipe.",""
Coari,Sim,Sim,Sim,"Falta de materiais.",""
Conde,Sim,Sim,Nao,"Falta de equipe.",""
Fortaleza,Sim,Sim,Nao,"Falta de equipe.",""
Icapuí,Sim,Sim,Nao,"Falta de materiais; falta de equipe.",""
Ipojuca,Sim,Sim,Nao,"Falta de materiais; falta de equipe.",""
Oiapoque,Sim,Sim,Sim,"Falta de materiais; falta de equipe.",""
Santa Luzia do Inhaty,Sim,Sim,Sim,"Falta de materiais; falta de equipe.",""
São Francisco do Conde,Sim,Sim,Nao,"Falta de equipe.",""
