Municipio,Ciclo_EJA,Escolas_Rural,Escolas_Urbana,Turmas_Rural,Turmas_Urbana
Cabo de Santo Agostinho,Alfabetizacao,0,0,0,0
Cabo de Santo Agostinho,Anos_Iniciais,7,11,14,11
Cabo de Santo Agostinho,Anos_Finais,11,6,25,13

Conde,Alfabetizacao,0,0,0,0
Conde,Anos_Iniciais,6,10,7,16
Conde,Anos_Finais,0,14,0,12

São Francisco do Conde,Alfabetizacao,0,3,0,3
São Francisco do Conde,Anos_Iniciais,3,8,4,8
São Francisco do Conde,Anos_Finais,1,1,5,4

Coari,Alfabetizacao,3,9,3,3
Coari,Anos_Iniciais,3,9,6,9
Coari,Anos_Finais,3,6,12,6

Fortaleza,Alfabetizacao,0,0,0,0
Fortaleza,Anos_Iniciais,35,71,35,71
Fortaleza,Anos_Finais,35,90,35,90

Santa Luzia do Itanhy,Alfabetizacao,308,35,12,2
Santa Luzia do Itanhy,Anos_Iniciais,0,0,0,0
Santa Luzia do Itanhy,Anos_Finais,288,58,18,3

Alto do Rodrigues,Alfabetizacao,3,1,4,2
Alto do Rodrigues,Anos_Iniciais,1,1,1,1
Alto do Rodrigues,Anos_Finais,1,1,1,1

Brejo Grande,Alfabetizacao,0,0,0,0
Brejo Grande,Anos_Iniciais,1,1,1,1
Brejo Grande,Anos_Finais,1,1,2,2

Ipojuca,Alfabetizacao,0,0,0,0
Ipojuca,Anos_Iniciais,10,10,20,13
Ipojuca,Anos_Finais,5,0,25,0

Icapuí,Alfabetizacao,0,0,0,0
Icapuí,Anos_Iniciais,0,0,0,0
Icapuí,Anos_Finais,0,0,0,0

Oiapoque,Alfabetizacao,0,0,0,0
Oiapoque,Anos_Iniciais,2,1,3,2
Oiapoque,Anos_Finais,1,1,3,10

Belém,Alfabetizacao,0,3,0,3
Belém,Anos_Iniciais,5,31,10,51
Belém,Anos_Finais,5,31,14,69

Carauari,Alfabetizacao,3,3,3,3
Carauari,Anos_Iniciais,3,9,9,4
Carauari,Anos_Finais,4,2,2,6

Caucaia,Alfabetizacao,0,0,0,0
Caucaia,Anos_Iniciais,12,3,16,4
Caucaia,Anos_Finais,14,3,24,6
