Municipio,Ciclo_EJA,Urbana,Rural,Total
Cabo de Santo Agostinho,Alfabetizacao,3,10,13
Cabo de Santo Agostinho,Anos_Iniciais,14,8,22
Cabo de Santo Agostinho,Anos_Finais,63,15,78

Conde,Alfabetizacao,0,0,0
Conde,Anos_Iniciais,16,7,23
Conde,Anos_Finais,18,0,18

São Francisco do Conde,Alfabetizacao,4,0,4
São Francisco do Conde,Anos_Iniciais,5,10,15
São Francisco do Conde,Anos_Finais,12,10,22

Coari,Alfabetizacao,3,3,6
Coari,Anos_Iniciais,10,6,16
Coari,Anos_Finais,22,9,31

Fortaleza,Alfabetizacao,0,0,0
Fortaleza,Anos_Iniciais,98,0,98
Fortaleza,Anos_Finais,98,0,98

Santa Luzia do Itanhy,Alfabetizacao,2,14,16
Santa Luzia do Itanhy,Anos_Iniciais,0,0,0
Santa Luzia do Itanhy,Anos_Finais,4,14,18

Alto do Rodrigues,Alfabetizacao,2,4,6
Alto do Rodrigues,Anos_Iniciais,2,0,2
Alto do Rodrigues,Anos_Finais,7,0,7

Brejo Grande,Alfabetizacao,0,0,0
Brejo Grande,Anos_Iniciais,1,1,2
Brejo Grande,Anos_Finais,7,6,13

Ipojuca,Alfabetizacao,0,0,0
Ipojuca,Anos_Iniciais,20,13,33
Ipojuca,Anos_Finais,78,0,78

Icapuí,Alfabetizacao,0,0,0
Icapuí,Anos_Iniciais,0,0,0
Icapuí,Anos_Finais,0,0,0

Oiapoque,Alfabetizacao,0,0,0
Oiapoque,Anos_Iniciais,2,2,4
Oiapoque,Anos_Finais,13,0,13

Belém,Alfabetizacao,0,0,0
Belém,Anos_Iniciais,52,10,62
Belém,Anos_Finais,231,53,284

Carauari,Alfabetizacao,3,0,3
Carauari,Anos_Iniciais,4,0,4
Carauari,Anos_Finais,6,0,6

Caucaia,Alfabetizacao,0,0,0
Caucaia,Anos_Iniciais,24,2,26
Caucaia,Anos_Finais,54,6,70
